date,road,RPT,home,HPT
1-Mar-17,Dallas Mavericks,95,Atlanta Hawks,100
1-Mar-17,Cleveland Cavaliers,99,Boston Celtics,103
1-Mar-17,Houston Rockets,122,Los Angeles Clippers,103
1-Mar-17,Philadelphia 76ers,98,Miami Heat,125
1-Mar-17,Denver Nuggets,110,Milwaukee Bucks,98
1-Mar-17,Detroit Pistons,86,New Orleans Pelicans,109
1-Mar-17,New York Knicks,101,Orlando Magic,90
1-Mar-17,Brooklyn Nets,109,Sacramento Kings,100
1-Mar-17,Indiana Pacers,99,San Antonio Spurs,100
1-Mar-17,Washington Wizards,105,Toronto Raptors,96
1-Mar-17,Minnesota Timberwolves,107,Utah Jazz,80
2-Mar-17,Golden State Warriors,87,Chicago Bulls,94
2-Mar-17,Charlotte Hornets,103,Phoenix Suns,120
2-Mar-17,Oklahoma City Thunder,109,Portland Trail Blazers,114
3-Mar-17,Cleveland Cavaliers,135,Atlanta Hawks,130
3-Mar-17,Memphis Grizzlies,100,Dallas Mavericks,104
3-Mar-17,Boston Celtics,115,Los Angeles Lakers,95
3-Mar-17,Los Angeles Clippers,101,Milwaukee Bucks,112
3-Mar-17,Miami Heat,99,Orlando Magic,110
3-Mar-17,New York Knicks,102,Philadelphia 76ers,105
3-Mar-17,Oklahoma City Thunder,111,Phoenix Suns,118
3-Mar-17,Brooklyn Nets,97,Utah Jazz,112
3-Mar-17,Toronto Raptors,114,Washington Wizards,106
4-Mar-17,Los Angeles Clippers,101,Chicago Bulls,91
4-Mar-17,Charlotte Hornets,112,Denver Nuggets,102
4-Mar-17,Memphis Grizzlies,108,Houston Rockets,123
4-Mar-17,Cleveland Cavaliers,92,Miami Heat,120
4-Mar-17,Toronto Raptors,94,Milwaukee Bucks,101
4-Mar-17,Detroit Pistons,136,Philadelphia 76ers,106
4-Mar-17,Brooklyn Nets,116,Portland Trail Blazers,130
4-Mar-17,Minnesota Timberwolves,90,San Antonio Spurs,97
5-Mar-17,Indiana Pacers,97,Atlanta Hawks,96
5-Mar-17,Oklahoma City Thunder,89,Dallas Mavericks,104
5-Mar-17,New Orleans Pelicans,105,Los Angeles Lakers,97
5-Mar-17,Golden State Warriors,112,New York Knicks,105
5-Mar-17,Boston Celtics,106,Phoenix Suns,109
5-Mar-17,Utah Jazz,110,Sacramento Kings,109
5-Mar-17,Orlando Magic,114,Washington Wizards,115
6-Mar-17,Golden State Warriors,119,Atlanta Hawks,111
6-Mar-17,Indiana Pacers,88,Charlotte Hornets,100
6-Mar-17,Miami Heat,106,Cleveland Cavaliers,98
6-Mar-17,Sacramento Kings,96,Denver Nuggets,108
6-Mar-17,Chicago Bulls,95,Detroit Pistons,109
6-Mar-17,Boston Celtics,102,Los Angeles Clippers,116
6-Mar-17,Brooklyn Nets,122,Memphis Grizzlies,109
6-Mar-17,New York Knicks,113,Orlando Magic,105
6-Mar-17,Milwaukee Bucks,112,Philadelphia 76ers,98
6-Mar-17,Houston Rockets,110,San Antonio Spurs,112
6-Mar-17,New Orleans Pelicans,83,Utah Jazz,88
7-Mar-17,Los Angeles Lakers,111,Dallas Mavericks,122
7-Mar-17,Portland Trail Blazers,126,Oklahoma City Thunder,121
7-Mar-17,Washington Wizards,131,Phoenix Suns,127
8-Mar-17,Brooklyn Nets,105,Atlanta Hawks,110
8-Mar-17,Washington Wizards,123,Denver Nuggets,113
8-Mar-17,Boston Celtics,99,Golden State Warriors,86
8-Mar-17,Utah Jazz,115,Houston Rockets,108
8-Mar-17,Detroit Pistons,98,Indiana Pacers,115
8-Mar-17,Charlotte Hornets,101,Miami Heat,108
8-Mar-17,New York Knicks,93,Milwaukee Bucks,104
8-Mar-17,Los Angeles Clippers,91,Minnesota Timberwolves,107
8-Mar-17,Toronto Raptors,94,New Orleans Pelicans,87
8-Mar-17,Chicago Bulls,91,Orlando Magic,98
8-Mar-17,Sacramento Kings,104,San Antonio Spurs,114
9-Mar-17,Cleveland Cavaliers,101,Detroit Pistons,106
9-Mar-17,Los Angeles Clippers,114,Memphis Grizzlies,98
9-Mar-17,San Antonio Spurs,92,Oklahoma City Thunder,102
9-Mar-17,Los Angeles Lakers,122,Phoenix Suns,110
9-Mar-17,Philadelphia 76ers,108,Portland Trail Blazers,114
10-Mar-17,Toronto Raptors,99,Atlanta Hawks,105
